Industry Sector,Company Name,Symbol,Stock Exchange
Information Technology,Shopify Inc.,SHOP,Toronto Stock Exchange
Information Technology,BCE Inc.,BCE,Toronto Stock Exchange
Information Technology,Telus Corporation,T,Toronto Stock Exchange
Information Technology,Rogers Communications Inc.,RCI.B,Toronto Stock Exchange
Information Technology,Bank of Montreal,BMO,Toronto Stock Exchange
Information Technology,Bank of Nova Scotia,BNS,Toronto Stock Exchange
Information Technology,Toronto-Dominion Bank (The),TD,Toronto Stock Exchange
Information Technology,National Bank of Canada,NA,Toronto Stock Exchange
Information Technology,Cogeco Communications Inc.,CCA,Toronto Stock Exchange
Information Technology,Cogeco Inc.,CGO,Toronto Stock Exchange
Information Technology,CGI Inc.,GIB.A,Toronto Stock Exchange
Information Technology,Open Text Corporation,OTEX,Toronto Stock Exchange
Information Technology,Brookfield Asset Management Inc.,BAM.A,Toronto Stock Exchange
Information Technology,Brookfield Renewable Partners L.P.,BEP.UN,Toronto Stock Exchange
Information Technology,Brookfield Infrastructure Partners L.P.,BIP.UN,Toronto Stock Exchange
Information Technology,Brookfield Business Partners L.P. (Limited Partnership),BBU.UN,Toronto Stock Exchange
Information Technology,Brookfield Renewable Corporation,BEPC.TSX,Toronto Stock Exchange
Information Technology,Kinross Gold Corporation,K,Toronto Stock Exchange
Information Technology,Yamana Gold Inc.,YRI,Toronto Stock Exchange
Information Technology,Iamgold Corporation,IMG,Toronto Stock Exchange
Information Technology,Agnico Eagle Mines Limited,AEM,Toronto Stock Exchange
Information Technology,Eldorado Gold Corporation,ELD,Toronto Stock Exchange
Information Technology,Alamos Gold Inc.,AGI,Toronto Stock Exchange
Information Technology,Kirkland Lake Gold Ltd.,KL,Toronto Stock Exchange
Information Technology,Aurora Cannabis Inc.,ACB.TSX,Toronto Stock Exchange
Information Technology,Cronos Group Inc.,CRON.TSX,Toronto Stock Exchange
Information Technology,Aphria Inc.,APHA.TSX,Toronto Stock Exchange
Information Technology,Canopy Growth Corporation,WEED.TSX,Toronto Stock Exchange
Information Technology,Air Canada,AC.TSX,Toronto Stock Exchange
Information Technology,Magna International Inc.,MG.TSX,Toronto Stock Exchange
Information Technology,Magna International Inc. (Sub Voting),MG.A.TSX,Toronto Stock Exchange
Information Technology,Magna International Inc. (Voting),MG.B.TSX,Toronto Stock Exchange
Information Technology,Bombardier Inc.,BBD.B.TSX,Toronto Stock Exchange
Information Technology,SNC-Lavalin Group Inc.,SNC.TSX,Toronto Stock Exchange
Information Technology,Norbord Inc.,OSB.TSX,Toronto Stock Exchange
Information Technology,CCL Industries Inc. Class B Subordinate Voting Shares,CCL.B.TSX,Toronto Stock Exchange
Information Technology,CCL Industries Inc. Class A Common Shares,CCL.A.TSX,Toronto Stock Exchange
Consumer Discretionary,Lululemon Athletica Inc.,LULU,NASDAQ
Consumer Discretionary,Nike Inc. (Class B),NKE,NYSE
Consumer Discretionary,Ross Stores Inc.,ROST,NASDAQ
Consumer Discretionary,Starbucks Corporation,SBUX,NASDAQ
Consumer Discretionary,Sirius XM Holdings Inc.,SIRI,NASDAQ
