Industry Sector,Company Name,Symbol,Stock Exchange
Information Technology,Apple Inc.,AAPL,NASDAQ
Information Technology,Microsoft Corporation,MSFT,NASDAQ
Information Technology,Amazon.com Inc.,AMZN,NASDAQ
Information Technology,Facebook Inc.,FB,NASDAQ
Information Technology,Alphabet Inc. (Class A),GOOGL,NASDAQ
Information Technology,Alphabet Inc. (Class C),GOOG,NASDAQ
Information Technology,Tesla Inc.,TSLA,NASDAQ
Information Technology,NVIDIA Corporation,NVDA,NASDAQ
Information Technology,Intel Corporation,INTC,NASDAQ
Information Technology,Cisco Systems Inc.,CSCO,NASDAQ
Information Technology,Adobe Inc.,ADBE,NASDAQ
Information Technology,Broadcom Inc.,AVGO,NASDAQ
Information Technology,Texas Instruments Incorporated,TXN,NASDAQ
Information Technology,QUALCOMM Incorporated,QCOM,NASDAQ
Information Technology,Oracle Corporation,ORCL,NYSE
Information Technology,International Business Machines Corporation,IBM,NYSE
Information Technology,Salesforce.com Inc.,CRM,NYSE
Information Technology,Servicenow Inc.,NOW,NYSE
Information Technology,Square Inc. (Class A),SQ,NYSE
Information Technology,Hewlett Packard Enterprise Company,HPE,NYSE
Information Technology,Dell Technologies Inc. (Class C),DELL,NYSE
Information Technology,Dell Technologies Inc. (Class V),DVMT,NYSE
Information Technology,Cognizant Technology Solutions Corporation,CTSH,NASDAQ
Information Technology,Autodesk Inc.,ADSK,NASDAQ
Information Technology,Micron Technology Inc.,MU,NASDAQ
Information Technology,Lam Research Corporation,LRCX,NASDAQ
Information Technology,KLA Corporation,KLAC,NASDAQ
Information Technology,Xilinx Inc.,XLNX,NASDAQ
Information Technology,Microchip Technology Incorporated,MCHP,NASDAQ
Information Technology,F5 Networks Inc.,FFIV,NASDAQ
Information Technology,Vmware Inc. (Class A),VMW,NYSE
Information Technology,Twilio Inc. (Class A),TWLO,NYSE
Information Technology,Akamai Technologies Inc.,AKAM,NASDAQ
Information Technology,Zebra Technologies Corporation (Class A),ZBRA,NASDAQ
Information Technology,Citrix Systems Inc.,CTXS,NASDAQ
Information Technology,Splunk Inc.,SPLK,NASDAQ
Information Technology,Palo Alto Networks Inc.,PANW,NYSE
Information Technology,Fortinet Inc.,FTNT,NASDAQ
Information Technology,CrowdStrike Holdings Inc. (Class A),CRWD,NASDAQ
Information Technology,Veeva Systems Inc. (Class A),VEEV,NYSE
Information Technology,Advanced Micro Devices Inc.,AMD,NASDAQ
Information Technology,Applied Materials Inc.,AMAT,NASDAQ
Information Technology,ASML Holding N.V.,ASML,NASDAQ
Information Technology,Cadence Design Systems Inc.,CDNS,NASDAQ
Information Technology,Digital Realty Trust Inc.,DLR,NYSE
Information Technology,eBay Inc.,EBAY,NASDAQ
Information Technology,Electronic Arts Inc.,EA,NASDAQ
Information Technology,Fidelity National Information Services Inc.,FIS,NYSE
Information Technology,Fiserv Inc.,FISV,NASDAQ
Information Technology,Global Payments Inc.,GPN,NYSE
Information Technology,HP Inc.,HPQ,NYSE
Information Technology,Intuit Inc.,INTU,NASDAQ
Information Technology,Micron Solutions Inc.,MICR,NYSE American LLC
Information Technology,MicroStrategy Incorporated,MSTR,NASDAQ
Information Technology,MKS Instruments Inc.,MKSI,NASDAQ
Information Technology,NetApp Inc.,NTAP,NASDAQ
Information Technology,NetEase Inc. (ADR),NTES,NASDAQ
Information Technology,New Relic Inc.,NEWR,NYSE
Information Technology,NIKE Inc. (Class B),NKE,NYSE
Information Technology,O'Reilly Automotive Inc.,ORLY,NASDAQ
Information Technology,PAYPAL HOLDINGS INC,PYPL,NASDAQ
