,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
0,Royal Bank Of Canada,RY,$111.74 B,$79.88,0.26%,,🇨🇦 Canada
1,Toronto Dominion Bank,TD,$101.89 B,$55.84,0.02%,,🇨🇦 Canada
2,Canadian Natural Resources,CNQ,$69.55 B,$63.53,0.38%,,🇨🇦 Canada
3,Canadian National Railway,CNI,$68.94 B,$105.78,0.19%,,🇨🇦 Canada
4,Enbridge,ENB,$68.30 B,$32.04,0.56%,,🇨🇦 Canada
5,Canadian Pacific Railway,CP,$66.33 B,$70.97,0.08%,,🇨🇦 Canada
6,Shopify,SHOP,$60.53 B,$47.19,0.58%,,🇨🇦 Canada
7,"Thomson Reuters
",TRI,$54.68 B,$119.88,0.50%,,🇨🇦 Canada
8,"Bank of Montreal
",BMO,$54.30 B,$75.55,0.07%,,🇨🇦 Canada
9,"Alimentation Couche-Tard
",ATD.TO,$52.54 B,$54.39,0.76%,,🇨🇦 Canada
10,lululemon athletica,LULU,$49.79 B,$393.48,0.44%,,🇨🇦 Canada
11,Scotiabank,BNS,$48.93 B,$40.47,0.42%,,🇨🇦 Canada
12,Brookfield Corporation,BN,$47.87 B,$29.15,0.03%,,🇨🇦 Canada
13,"Constellation Software
",CSU.TO,$42.44 B,"$2,003",0.97%,,🇨🇦 Canada
14,"Suncor Energy
",SU,$42.22 B,$32.40,0.25%,,🇨🇦 Canada
15,"Cenovus Energy
",CVE,$36.23 B,$19.08,0.42%,,🇨🇦 Canada
16,"TC Energy
",TRP,$34.45 B,$34.45,0.55%,,🇨🇦 Canada
17,BCE,BCE,$33.95 B,$37.13,0.40%,,🇨🇦 Canada
18,CIBC,CM,$32.67 B,$35.27,0.14%,,🇨🇦 Canada
19,"Imperial Oil
",IMO,$32.29 B,$56.99,1.37%,,🇨🇦 Canada
20,Manulife Financial,MFC,$31.82 B,$17.42,0.34%,,🇨🇦 Canada
21,Restaurant Brands International,QSR,$30.51 B,$67.20,1.17%,,🇨🇦 Canada
22,Barrick Gold,GOLD,$28.11 B,$15.98,0.81%,,🇨🇦 Canada
23,"Sun Life Financial
",SLF,$26.80 B,$45.67,0.37%,,🇨🇦 Canada
24,Nutrien,NTR,$26.63 B,$53.70,4.19%,,🇨🇦 Canada
25,Loblaw Companies,L.TO,$25.85 B,$81.72,0.11%,,🇨🇦 Canada
26,"Great-West Lifeco
",GWO.TO,$25.77 B,$27.68,0.81%,,🇨🇦 Canada
27,Intact Financial,IFC.TO,$25.03 B,$140.38,0.69%,,🇨🇦 Canada
28,Franco-Nevada,FNV,$23.42 B,$121.55,3.74%,,🇨🇦 Canada
29,Telus,TU,$23.33 B,$16.12,0.37%,,🇨🇦 Canada
30,Agnico Eagle Mines,AEM,$23.32 B,$46.91,1.49%,,🇨🇦 Canada
31,CGI,GIB,$22.78 B,$96.41,0.56%,,🇨🇦 Canada
32,"Fairfax Financial
",FFH.TO,$21.53 B,$831.48,0.65%,,🇨🇦 Canada
33,"National Bank of Canada
",NA.TO,$21.01 B,$62.12,1.27%,,🇨🇦 Canada
34,Rogers Communication,RCI,$19.65 B,$37.06,0.27%,,🇨🇦 Canada
35,Fortis,FTS,$19.44 B,$39.73,1.05%,,🇨🇦 Canada
36,Dollarama,DOL.TO,$19.28 B,$68.23,0.86%,,🇨🇦 Canada
37,Wheaton Precious Metals,WPM,$19.18 B,$42.25,2.81%,,🇨🇦 Canada
38,"Teck Resources
",TECK,$18.36 B,$35.34,0.25%,,🇨🇦 Canada
39,"Tourmaline Oil
",TOU.TO,$17.95 B,$52.83,1.06%,,🇨🇦 Canada
40,"Cameco
",CCJ,$17.72 B,$40.91,8.06%,,🇨🇦 Canada
41,"Pembina Pipeline
",PBA,$16.94 B,$30.78,0.56%,,🇨🇦 Canada
42,"WSP Global
",WSP.TO,$16.28 B,$130.71,1.09%,,🇨🇦 Canada
43,Power Corporation of Canada,POW.TO,$15.86 B,$24.07,0.69%,,🇨🇦 Canada
44,"Hydro One
",H.TO,$15.52 B,$25.91,0.80%,,🇨🇦 Canada
45,George Weston,WN.TO,$14.94 B,$108.38,0.85%,,🇨🇦 Canada
46,Magna International,MGA,$13.78 B,$48.09,0.52%,,🇨🇦 Canada
47,"Ritchie Bros. Auctioneers
",RBA,$11.95 B,$65.40,2.72%,,🇨🇦 Canada
48,Metro,MRU.TO,$11.65 B,$50.75,0.10%,,🇨🇦 Canada
49,Brookfield Asset Management,BAM,$11.25 B,$28.67,1.44%,,🇨🇦 Canada
50,"Power Financial
",PWF-PS.TO,$10.89 B,$11.85,1.48%,,🇨🇦 Canada
51,"GFL Environmental
",GFL,$10.63 B,$28.82,0.10%,,🇨🇦 Canada
52,"ARC Resources
",ARX.TO,$9.78 B,$16.07,1.78%,,🇨🇦 Canada
53,TFI International,TFII,$9.50 B,$110.62,0.24%,,🇨🇦 Canada
54,Emera,EMA.TO,$9.09 B,$32.73,0.20%,,🇨🇦 Canada
55,OpenText,OTEX,$9.07 B,$33.40,0.39%,,🇨🇦 Canada
56,"Ivanhoe Mines
",IVN.TO,$8.97 B,$7.36,3.04%,,🇨🇦 Canada
57,Saputo,SAP.TO,$8.52 B,$20.17,0.94%,,🇨🇦 Canada
58,"First Quantum Minerals
",FM.TO,$8.03 B,$11.58,19.65%,,🇨🇦 Canada
59,CCL Industries,CCL-B.TO,$6.94 B,$39.07,0.33%,,🇨🇦 Canada
60,"Empire Company
",EMP-A.TO,$6.84 B,$27.38,0.05%,,🇨🇦 Canada
61,Stantec,STN,$6.80 B,$61.17,0.08%,,🇨🇦 Canada
62,CAE,CAE,$6.66 B,$20.86,0.10%,,🇨🇦 Canada
63,"Kinross Gold
",KGC,$6.42 B,$5.21,1.14%,,🇨🇦 Canada
64,FirstService,FSV,$6.33 B,$141.47,0.37%,,🇨🇦 Canada
65,Choice Properties REIT,CHP-UN.TO,$6.27 B,$8.67,1.43%,,🇨🇦 Canada
66,Toromont,TIH.TO,$6.24 B,$75.22,0.96%,,🇨🇦 Canada
67,"Descartes Systems
",DSGX,$6.16 B,$72.21,0.87%,,🇨🇦 Canada
68,iA Financial,IAG.TO,$5.96 B,$58.14,1.13%,,🇨🇦 Canada
69,"Canadian Utilities
",CU.TO,$5.86 B,$21.14,1.54%,,🇨🇦 Canada
70,"TMX Group
",X.TO,$5.79 B,$20.81,3.12%,,🇨🇦 Canada
71,Canadian Tire,CTC.TO,$5.71 B,$192.01,1.30%,,🇨🇦 Canada
72,Bausch + Lomb,BLCO,$5.66 B,$16.14,1.04%,,🇨🇦 Canada
73,West Fraser Timber,WFG,$5.65 B,$67.44,0.46%,,🇨🇦 Canada
74,MEG Energy,MEG.TO,$5.63 B,$19.74,0.15%,,🇨🇦 Canada
75,SNC-Lavalin Group,SNC.TO,$5.50 B,$31.33,1.11%,,🇨🇦 Canada
76,Topicus,TOI.V,$5.38 B,$65.79,3.76%,,🇨🇦 Canada
77,IGM Financial,IGM.TO,$5.35 B,$22.49,0.19%,,🇨🇦 Canada
78,"Pan American Silver
",PAAS,$5.33 B,$14.61,2.34%,,🇨🇦 Canada
79,Keyera,KEY.TO,$5.32 B,$23.24,0.84%,,🇨🇦 Canada
80,Parkland Corp,PKI.TO,$5.31 B,$30.24,1.40%,,🇨🇦 Canada
81,"Element Fleet Management
",EFN.TO,$5.26 B,$13.52,1.32%,,🇨🇦 Canada
82,"AltaGas
",ALA.TO,$5.22 B,$18.56,1.62%,,🇨🇦 Canada
83,"Bombardier Recreational Products
",DOOO,$5.20 B,$67.62,0.73%,,🇨🇦 Canada
84,Gildan,GIL,$5.00 B,$28.41,1.18%,,🇨🇦 Canada
85,Canadian Apartment Properties REIT,CAR-UN.TO,$4.97 B,$29.41,0.24%,,🇨🇦 Canada
86,Alamos Gold,AGI,$4.92 B,$12.38,2.90%,,🇨🇦 Canada
87,Quebecor,QBR-B.TO,$4.85 B,$20.61,2.14%,,🇨🇦 Canada
88,"Lundin Mining
",LUN.TO,$4.82 B,$6.24,0.12%,,🇨🇦 Canada
89,Whitecap Resources,WCP.TO,$4.67 B,$7.71,0.56%,,🇨🇦 Canada
90,Onex,ONEX.TO,$4.44 B,$56.00,1.50%,,🇨🇦 Canada
91,Air Canada,AC.TO,$4.32 B,$12.05,1.39%,,🇨🇦 Canada
92,Crescent Point Energy,CPG,$4.31 B,$8.01,0.25%,,🇨🇦 Canada
93,Colliers International,CIGI,$4.28 B,$90.73,0.83%,,🇨🇦 Canada
94,"PrairieSky Royalty
",PSK.TO,$4.19 B,$17.54,1.08%,,🇨🇦 Canada
95,"B2Gold
",BTG,$4.19 B,$3.23,0.31%,,🇨🇦 Canada
96,Finning,FTT.TO,$3.90 B,$26.76,1.87%,,🇨🇦 Canada
97,"Baytex Energy
",BTE,$3.74 B,$4.32,0.23%,,🇨🇦 Canada
98,Boyd Group,BYD.TO,$3.65 B,$170.35,0.44%,,🇨🇦 Canada
99,RioCan REIT,REI-UN.TO,$3.64 B,$12.14,0.54%,,🇨🇦 Canada
100,"Enerplus
",ERF,$3.56 B,$16.91,0.00%,,🇨🇦 Canada
101,"Northland Power
",NPI.TO,$3.55 B,$14.04,2.70%,,🇨🇦 Canada
102,Algonquin Power & Utilities,AQN,$3.47 B,$5.03,2.33%,,🇨🇦 Canada
103,Paramount Resources,POU.TO,$3.43 B,$24.01,0.57%,,🇨🇦 Canada
104,ATS Automation,ATS,$3.33 B,$33.71,1.29%,,🇨🇦 Canada
105,Bombardier,BBD-B.TO,$3.06 B,$32.06,1.07%,,🇨🇦 Canada
106,Stella-Jones,SJ.TO,$3.03 B,$52.34,0.22%,,🇨🇦 Canada
107,Capital Power,CPX.TO,$2.99 B,$25.57,1.58%,,🇨🇦 Canada
108,"NexGen Energy
",NXE,$2.97 B,$6.05,4.49%,,🇨🇦 Canada
109,Granite Real Estate,GRP-UN,$2.91 B,$45.68,0.89%,,🇨🇦 Canada
110,"ATCO
",ACO-X.TO,$2.90 B,$25.61,0.67%,,🇨🇦 Canada
111,Premium Brands,PBH.TO,$2.87 B,$64.33,0.86%,,🇨🇦 Canada
112,Lundin Gold,LUG.TO,$2.86 B,$12.05,2.45%,,🇨🇦 Canada
113,SSR Mining,SSRM,$2.83 B,$13.88,1.91%,,🇨🇦 Canada
114,Celestica,CLS,$2.79 B,$23.35,4.94%,,🇨🇦 Canada
115,Methanex,MEOH,$2.78 B,$41.25,0.43%,,🇨🇦 Canada
116,Kinaxis,KXS.TO,$2.77 B,$97.57,1.10%,,🇨🇦 Canada
117,Sigma Lithium,SGML,$2.68 B,$24.45,3.59%,,🇨🇦 Canada
118,Linamar,LNR.TO,$2.65 B,$43.20,0.50%,,🇨🇦 Canada
119,SmartCentres REIT,SRU-UN.TO,$2.63 B,$15.48,0.66%,,🇨🇦 Canada
