,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
0,Apple,AAPL,$2.669 T,$170.77,0.28%,,🇺🇸 USA
1,Microsoft,MSFT,$2.512 T,$338.11,0.24%,,🇺🇸 USA
2,Alphabet (Google),GOOG,$1.559 T,$125.30,0.36%,,🇺🇸 USA
3,Amazon,AMZN,$1.375 T,$133.09,0.29%,,🇺🇸 USA
4,NVIDIA,NVDA,$1.007 T,$407.80,0.93%,,🇺🇸 USA
5,Meta Platforms (Facebook),META,$774.22 B,$301.27,0.46%,,🇺🇸 USA
6,Berkshire Hathaway ,BRK-B,$744.39 B,$341.33,1.16%,,🇺🇸 USA
7,Tesla,TSLA,$638.45 B,$200.84,1.76%,,🇺🇸 USA
8,Eli Lilly,LLY,$525.84 B,$553.93,2.08%,,🇺🇸 USA
9,UnitedHealth,UNH,$496.09 B,$535.56,1.05%,,🇺🇸 USA
10,Visa,V,$486.38 B,$235.10,0.87%,,🇺🇸 USA
11,Walmart,WMT,$439.82 B,$163.41,0.24%,,🇺🇸 USA
12,Exxon Mobil,XOM,$419.47 B,$105.85,0.03%,,🇺🇸 USA
13,JPMorgan Chase,JPM,$402.02 B,$139.06,1.19%,,🇺🇸 USA
14,Johnson & Johnson,JNJ,$357.09 B,$148.34,0.89%,,🇺🇸 USA
15,Procter & Gamble,PG,$353.60 B,$150.03,0.52%,,🇺🇸 USA
16,Mastercard,MA,$352.93 B,$376.35,1.06%,,🇺🇸 USA
17,Broadcom,AVGO,$347.26 B,$841.37,0.01%,,🇺🇸 USA
18,Home Depot,HD,$284.70 B,$284.69,1.14%,,🇺🇸 USA
19,Oracle,ORCL,$283.25 B,$103.40,1.72%,,🇺🇸 USA
20,Chevron,CVX,$277.99 B,$145.73,0.25%,,🇺🇸 USA
21,Merck,MRK,$260.60 B,$102.70,0.02%,,🇺🇸 USA
22,AbbVie,ABBV,$249.18 B,$141.18,0.50%,,🇺🇸 USA
23,Costco,COST,$244.58 B,$552.44,0.44%,,🇺🇸 USA
24,Coca-Cola,KO,$244.22 B,$56.49,0.61%,,🇺🇸 USA
25,Adobe,ADBE,$242.24 B,$532.06,0.97%,,🇺🇸 USA
26,Pepsico,PEP,$224.48 B,$163.28,0.62%,,🇺🇸 USA
27,Cisco,CSCO,$211.15 B,$52.13,1.09%,,🇺🇸 USA
28,Bank of America ,BAC,$208.70 B,$26.34,2.53%,,🇺🇸 USA
29,Salesforce,CRM,$195.40 B,$200.83,0.78%,,🇺🇸 USA
30,McDonald,MCD,$191.05 B,$262.17,0.78%,,🇺🇸 USA
31,Netflix,NFLX,$180.18 B,$411.69,0.39%,,🇺🇸 USA
32,Pfizer,PFE,$172.54 B,$30.56,0.03%,,🇺🇸 USA
33,Thermo Fisher Scientific,TMO,$171.65 B,$444.77,2.46%,,🇺🇸 USA
34,T-Mobile US,TMUS,$166.37 B,$143.86,1.62%,,🇺🇸 USA
35,Comcast,CMCSA,$166.19 B,$41.29,2.08%,,🇺🇸 USA
36,Abbott Laboratories,ABT,$164.07 B,$94.55,1.67%,,🇺🇸 USA
37,AMD,AMD,$159.14 B,$98.50,2.41%,,🇺🇸 USA
38,Nike,NKE,$156.40 B,$102.77,0.95%,,🇺🇸 USA
39,Intel,INTC,$153.88 B,$36.50,2.27%,,🇺🇸 USA
40,Walt Disney,DIS,$149.29 B,$81.59,1.13%,,🇺🇸 USA
41,Verizon,VZ,$147.69 B,$35.13,1.47%,,🇺🇸 USA
42,Wells Fargo,WFC,$144.68 B,$39.77,0.86%,,🇺🇸 USA
43,ConocoPhillips,COP,$142.26 B,$118.80,0.56%,,🇺🇸 USA
44,Danaher,DHR,$141.88 B,$192.02,3.74%,,🇺🇸 USA
45,Intuit,INTU,$138.71 B,$494.95,1.53%,,🇺🇸 USA
46,Philip Morris,PM,$138.41 B,$89.16,0.26%,,🇺🇸 USA
47,Amgen,AMGN,$136.77 B,$255.70,2.85%,,🇺🇸 USA
48,IBM,IBM,$132.07 B,$144.64,1.41%,,🇺🇸 USA
49,Texas Instruments,TXN,$128.97 B,$142.01,1.07%,,🇺🇸 USA
50,Union Pacific Corporation,UNP,$126.55 B,$207.61,0.88%,,🇺🇸 USA
51,QUALCOMM,QCOM,$121.63 B,$108.99,1.08%,,🇺🇸 USA
52,Honeywell,HON,$120.81 B,$183.26,1.95%,,🇺🇸 USA
53,United Parcel Service,UPS,$120.69 B,$141.25,1.78%,,🇺🇸 USA
54,ServiceNow,NOW,$119.31 B,$581.85,2.34%,,🇺🇸 USA
55,General Electric,GE,$118.23 B,$108.63,1.07%,,🇺🇸 USA
56,Nextera Energy,NEE,$117.98 B,$58.30,1.92%,,🇺🇸 USA
57,Raytheon Technologies,RTX,$117.03 B,$81.39,3.59%,,🇺🇸 USA
58,Caterpillar,CAT,$116.72 B,$226.05,6.65%,,🇺🇸 USA
59,Morgan Stanley,MS,$116.28 B,$70.82,0.33%,,🇺🇸 USA
60,Boeing,BA,$113.02 B,$186.82,2.45%,,🇺🇸 USA
61,Lockheed Martin,LMT,$112.79 B,$454.64,1.97%,,🇺🇸 USA
62,S&P Global,SPGI,$111.15 B,$349.31,1.23%,,🇺🇸 USA
63,Applied Materials,AMAT,$110.71 B,$132.35,1.01%,,🇺🇸 USA
64,AT&T,T,$110.11 B,$15.40,0.92%,,🇺🇸 USA
65,Lowe's Companies,LOW,$109.98 B,$190.57,1.52%,,🇺🇸 USA
66,American Express,AXP,$106.41 B,$146.03,1.93%,,🇺🇸 USA
67,Elevance Health,ELV,$105.75 B,$450.09,0.46%,,🇺🇸 USA
68,Starbucks,SBUX,$105.65 B,$92.24,0.98%,,🇺🇸 USA
69,Deere & Company,DE,$105.22 B,$365.36,0.66%,,🇺🇸 USA
70,Bristol-Myers Squibb,BMY,$104.85 B,$51.53,0.55%,,🇺🇸 USA
71,Stryker Corporation,SYK,$102.62 B,$270.22,2.91%,,🇺🇸 USA
72,TJX Companies,TJX,$100.75 B,$88.07,0.23%,,🇺🇸 USA
73,Goldman Sachs,GS,$100.09 B,$303.61,0.92%,,🇺🇸 USA
